Your Estimate
Service Type,Components,Region,Component Price,Service Price
Amazon EC2 Service (US East (N. Virginia)),,,,$72.19
,Compute:,US East (N. Virginia),$23.43
,Intra-Region Data Transfer:,US East (N. Virginia),$0.1
,EBS Volumes:,US East (N. Virginia),$30
,EBS IOPS:,US East (N. Virginia),$0
,EBS Snapshots:,US East (N. Virginia),$15
,Elastic IPs:,US East (N. Virginia),$3.66
Amazon Route 53 Service,,,,$0.5
,Hosted Zones:,Global,$0.5
Amazon Elastic Load Balancing (US East (N. Virginia)),,,,$32.94
,Application LBs:,US East (N. Virginia),$32.94
AWS Data Transfer In,,,,$0
,US East (N. Virginia) Region:,Global,$0
AWS Data Transfer Out,,,,$0.81
,US East (N. Virginia) Region:,Global,$0.81
AWS Support (Basic),,,,$0
,Support for all AWS services:,,$0
,,Free Tier Discount:,,$-20.74
,,Total Monthly Payment:,,$85.7
